Thème (IT),Mot français,Genre grammatical,Singulier IT,Pluriel IT,Astuce mnémotechnique
Lo shopping,un achat,m,un acquisto,gli acquisti,'Acquisto' → 'acquisition / achat'
Lo shopping,le prix,m,il prezzo,i prezzi,'Prezzo' → 'prix' (proche)
Lo shopping,bon marché,m,economico,economici,'Economico' → 'économique = pas cher'
Lo shopping,cher,m,caro,cari,'Caro' → 'cher' (aussi 'chéri' !)
Lo shopping,gratuit,m,gratuito,gratuiti,'Gratuito' → 'gratuit' (quasi identique)
Lo shopping,en promotion,—,in promozione,—,'In promozione' → 'en promotion'
Lo shopping,une réduction,m,uno sconto,gli sconti,'Sconto' → 'escompte / réduction'
Lo shopping,la caisse,f,la cassa,le casse,'Cassa' → 'caisse' (quasi identique)
Lo shopping,le ticket de caisse,m,lo scontrino,gli scontrini,'Scontrino' = petit reçu
Lo shopping,le chariot,m,il carrello,i carrelli,'Carrello' → 'chariot' (proche)
Lo shopping,un panier,m,un cestino,i cestini,'Cestino' → 'corbeille / panier'
Lo shopping,l'argent,m pl,i soldi,—,'Soldi' → 'sous' (anciennes pièces)
Lo shopping,la carte de crédit,f,la carta di credito,le carte di credito,'Carta di credito' = carte de crédit
Lo shopping,la monnaie (rendu),m,il resto,i resti,'Resto' → 'reste' = la monnaie rendue
Lo shopping,ouvert,m,aperto,aperti,'Aperto' → 'ouvert' (latin apertus)
Lo shopping,fermé,m,chiuso,chiusi,'Chiuso' → 'clos / fermé'
Lo shopping,un client,m,il cliente,i clienti,'Cliente' → 'client' (quasi identique)
Lo shopping,la vitrine,f,la vetrina,le vetrine,'Vetrina' → 'vitrine' (proche)
Lo shopping,une boulangerie,f,una panetteria,le panetterie,'Panetteria' → 'boulangerie' (pane = pain)
Lo shopping,acheter,—,comprare,—,'Comprare' → 'compra' (achat)
Lo shopping,payer,—,pagare,—,'Pagare' → 'payer' (proche)
Lo shopping,dépenser,—,spendere,—,'Spendere' → 'dépenser' (proche)
Lo shopping,économiser,—,risparmiare,—,'Risparmiare' → 'épargner'
Lo shopping,rembourser,—,rimborsare,—,'Rimborsare' → 'rembourser' (quasi identique)
Lo shopping,faire les courses,—,fare la spesa,—,'La spesa' = la dépense = les courses
L'identità personale,le nom de famille,m,il cognome,i cognomi,'Cognome' → 'cognomen' (nom latin)
L'identità personale,le prénom,m,il nome,i nomi,'Nome' → 'nom / prénom'
L'identità personale,l'adresse,m,l'indirizzo,gli indirizzi,'Indirizzo' → 'adresse' (proche)
L'identità personale,le numéro de téléphone,m,il numero di telefono,i numeri di telefono,'Numero di telefono' = numéro de téléphone
L'identità personale,la date de naissance,f,la data di nascita,—,'Data di nascita' = date de naissance
L'identità personale,l'âge,f,l'età,—,'Età' → 'âge' (latin aetas)
L'identità personale,la nationalité,f,la nazionalità,—,'Nazionalità' → 'nationalité' (quasi identique)
L'identità personale,la profession,f,la professione,le professioni,'Professione' → 'profession' (quasi identique)
L'identità personale,l'état civil,m,lo stato civile,—,'Stato civile' = état civil
L'identità personale,célibataire,m,celibe (h) / nubile (f),—,'Celibe' → 'célibataire' (proche)
L'identità personale,marié(e),m,sposato,sposati,'Sposato' → 'épousé / marié'
L'identità personale,divorcé,m,divorziato,divorziati,'Divorziato' → 'divorcé' (quasi identique)
L'identità personale,veuf / veuve,m,vedovo / vedova,vedovi/vedove,'Vedovo' → 'veuf' (proche)
L'identità personale,la carte d'identité,f,la carta d'identità,—,'Carta d'identità' = carte d'identité
L'identità personale,le passeport,m,il passaporto,i passaporti,'Passaporto' = passe + porto
L'identità personale,le permis de conduire,f,la patente di guida,—,'Patente' → 'patente / permis'
L'identità personale,la signature,f,la firma,le firme,'Firma' → 'firme / signature'
L'identità personale,la taille (hauteur),f,l'altezza,—,'Altezza' → 'altitude / hauteur'
L'identità personale,le poids,m,il peso,i pesi,'Peso' → 'poids' (quasi identique)
L'identità personale,la langue maternelle,f,la lingua madre,—,'Lingua madre' = langue mère = maternelle
L'identità personale,un formulaire,m,un modulo,i moduli,'Modulo' → 'module / formulaire'
L'identità personale,monsieur,m,signore,signori,'Signore' → 'seigneur / monsieur'
L'identità personale,madame,f,signora,signore,'Signora' → 'dame / madame'
L'identità personale,mademoiselle,f,signorina,signorine,'Signorina' = petite dame = mademoiselle
L'identità personale,se présenter,—,presentarsi,—,'Presentarsi' → 'se présenter' (réfléchi)
L'identità personale,habiter,—,abitare,—,'Abitare' → 'habiter' (quasi identique)
100 frasi comuni,Bonjour !,—,Buongiorno !,—,'Buon + giorno' = bonne journée !
100 frasi comuni,Au revoir !,—,Arrivederci !,—,'Arrivederci' = jusqu'à nous revoir
100 frasi comuni,À bientôt !,—,A presto !,—,'A presto' = à bientôt (presto = vite)
100 frasi comuni,S'il vous plaît,—,Per favore,—,'Per favore' = pour la grâce = s'il vous plaît
100 frasi comuni,Merci beaucoup !,—,Grazie mille !,—,'Grazie mille' = mille mercis
100 frasi comuni,De rien,—,Prego,—,'Prego' = je vous en prie (aussi 'allô' au téléphone !)
100 frasi comuni,Excusez-moi,—,Mi scusi,—,'Mi scusi' = excusez-moi (formel)
100 frasi comuni,Je suis désolé(e),—,Mi dispiace,—,'Mi dispiace' = ça me déplaît = je suis désolé
100 frasi comuni,Je m'appelle...,—,Mi chiamo...,—,'Mi chiamo' = je m'appelle (je me nomme)
100 frasi comuni,Je ne comprends pas,—,Non capisco,—,'Non capisco' = je ne saisis pas
100 frasi comuni,Je ne sais pas,—,Non lo so,—,'Non lo so' = je ne le sais pas
100 frasi comuni,Je suis d'accord,—,Sono d'accordo,—,'Sono d'accordo' = je suis en accord
100 frasi comuni,Je ne suis pas d'accord,—,Non sono d'accordo,—,'Non sono d'accordo' = négation de la précédente
100 frasi comuni,Pouvez-vous répéter ?,—,Può ripetere?,—,'Può ripetere' = pouvez-vous répéter ?
100 frasi comuni,Parlez plus lentement,—,Parli più lentamente,—,'Più lentamente' = plus lentement
100 frasi comuni,J'aime ça !,—,Mi piace !,—,'Mi piace' = ça me plaît (structure inverse du français !)
100 frasi comuni,Je n'aime pas ça,—,Non mi piace,—,'Non mi piace' = ça ne me plaît pas
100 frasi comuni,C'est délicieux,—,È delizioso,—,'Delizioso' → 'délicieux' (quasi identique)
100 frasi comuni,C'est facile,—,È facile,—,'Facile' = identique au français !
100 frasi comuni,C'est difficile,—,È difficile,—,'Difficile' = identique au français !
100 frasi comuni,C'est incroyable !,—,È incredibile !,—,'Incredibile' → 'incroyable' (quasi identique)
100 frasi comuni,Ça coûte trop cher,—,Costa troppo,—,'Costa troppo' = ça coûte trop
100 frasi comuni,Il fait beau aujourd'hui,—,Fa bel tempo oggi,—,'Fa bel tempo' = il fait beau temps
100 frasi comuni,Il pleut,—,Sta piovendo,—,'Sta piovendo' = il est en train de pleuvoir
100 frasi comuni,Je suis fatigué(e),—,Sono stanco(a),—,'Sono stanco' = je suis fatigué
100 frasi comuni,Je suis malade,—,Sono malato(a),—,'Sono malato' = je suis malade
100 frasi comuni,J'ai faim,—,Ho fame,—,'Ho fame' = j'ai faim (avoir + faim)
100 frasi comuni,Je suis heureux(se),—,Sono felice,—,'Sono felice' = je suis heureux
100 frasi comuni,Je suis perdu(e),—,Sono perso(a),—,'Sono perso' = je suis perdu
100 frasi comuni,J'ai réservé une chambre,—,Ho prenotato una camera,—,'Ho prenotato' = j'ai réservé (passé composé)
100 frasi comuni,Je dois y aller,—,Devo andare,—,'Devo andare' = je dois aller
100 frasi comuni,Allons-y !,—,Andiamo !,—,'Andiamo' = allons (impératif de andare)
100 frasi comuni,Tu as raison,—,Hai ragione,—,'Hai ragione' = tu as raison
100 frasi comuni,Bonne chance !,—,Buona fortuna !,—,'Buona fortuna' = bonne chance
100 frasi comuni,Ne t'inquiète pas,—,Non preoccuparti,—,'Non preoccuparti' = ne te préoccupe pas
100 frasi comuni,Attention !,—,Attenzione !,—,'Attenzione' → 'attention' (quasi identique)
100 frasi comuni,Bonne journée !,—,Buona giornata !,—,'Buona giornata' = bonne journée
